id,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10
1,,,,,,,,,,
2,Haus,Sonne,Computer,Auto,Brot,Liebe,Hass,Buch,Baustelle,Baum
3,Car,Chocolate,Party,Balance,Relaxation,Fullfillment,Fun,Love,Braveness,Humanity
4,Elefant,Stuhl,Sport,Elektrizität,Liebe,Nageldesign,Recht,Schweden,Wasser,Kleidung
5,Cat,Universe,Street,Flower,Clock,Silver,Teacher,Money,Light,Christmas
6,policy,vacation,knife,dog,Australia,mom,table,flower,music,hand
7,dog,concert,healthcare,shame,east,coleslaw,sophomore,rifle,river,umbrella
8,,,,,,,,,,
9,house,time,anarchy,music,root,club,mechanism,blood,filter,gun
10,Book,Human,Computer,Chair,Bag,Jacket,Sun,Bus,Water,Street
11,,,,,,,,,,
12,freedom,anklets,accessories,marriage,rain,happiness,hair,escape,shore,ocean
13,Car,Rain,T-Shirt,Horse,Cup,Glasses,Head,Community,University,Food
14,,,,,,,,,,
15,cat,truck,sky,cancer,manicure,website,devil,pan,ick,grandfather
16,,,,,,,,,,
17,Fahrrad,Hase,Regenbogen,Nase,Müllmann,Buchhaltung,Gras,Glocke,Tesla,Tacker
18,,,,,,,,,,
19,Brain,Floor,Planet,Choice,Bread,Chinese,War,Trousers,Sibling,Dog
20,Yellow,Pool,Food,Train,Village,Computer,Flower,School,Fly,Hair
21,fish,ketchup,blue,bed,computer,sport,flower,power,shoulder,ring
22,Eigenständigkeitserklärung,Reisen,Baum,Glühbirne,Staat,Cringe,Meerschweinchen,Schwester,Geheimratsecken,Bildhauer
23,freedom,snow,car,immigrant,utility,exchange rate,Summer,mother,tulip,underdog
24,Trainstation,newspaper,sausage,sky,chamber,rabbit,leprechaun,yellow,movie,spy
25,Turbine,Schildkröte,Vaccation,Bobycar,Kanzler,Türgriff,Lotusblüte,Tea,Aussichtsplattform,Bleistift
26,book,boyfriend,socks,tornado,river,mystery,classmate,christmas,spring,helicopter
27,love,house,altruism,congress,dream,scheming,hero,tea,mirror,sun
28,ubiquity,colour,military,fox,mineral,space,romance,leaf,phone,kidney
29,house,plant,apple,computer,music,jewellery,feeling,trousers,exam,sky
30,Death,Apple,Car,Water,Pants,Rugby,Snake,Waste,Cup,Hair
31,cat,spoon,house,hospital,woman,hammer,bread,phone,table,boat
32,Sleep,Running,Cow,Store,Idea,Love,Train,Door,Apple,Blue
33,Future,Pig,Flower,Food,House,People,Money,Science,Colour,Grace
34,Rock,Apple,Dragon,Sword,Judge,Train,Wind,Space,Hair,Tshirt
35,computer,color,child,hair,car,number,ball,room,food,
36,Black,Hardcore,Fingers,walls,creativity,Flowers,Suffering,Basketball,fur,lines
37,shark,school,tea,election,car,newspaper,basketball,money,knight,aunt
38,Sleep,Biology,Shoe,Hair,Love,Phone,Sea,Rabbit,Rope,Fries
39,Haustier,Krieg,Sexualtiät,Kälte,Intelligenz,Magnetismus,Tibet,Musik,Volkswirtschaften,Nasennebenhöhlen
40,snow,month,church,milk,dirt,hour,aunt,lava,nummer,news
41,trash,holiday,ocean,mosquito,calculator,football,celebrity,petal,sweat,toe
42,fish,space,love,duke,seatbelt,chimney,mascara,saddle,animalshelter,diamond
43,summer,literature,work,home,boyfriend,boredom,football,liguistic,device,table
44,sheep,substitution,village,trousers,apple pie,religion,geometry,train,fog,window
45,coffee,tree,family,happiness,friend,rubber,steel,doll,movie,achievement
46,house,tree,barkeeper,handgloves,freedom,knife,family,vacation,happiness,behaviour
47,handy,grashalm,sternenstaub,atomuhr,sandkorn,kaffee,gleichung,maya,brille,folikel
48,tree,hippoppotamus,hat,oven,university,dungeon,village,crisps,steak,ball
49,bank,sky,star,atom,bottle,coner,circel,mother,walk,game
50,dream,industry,space,green,lonely,boat,medicine,transaction,hope,feet
51,flag,Phone,Home,fish,cheeseburger,perfume,shoes,origin,game,anxiety
52,Misonogy ,evolution ,bananen ,Staubsauger,reisen ,Photography ,Auspuff,Filme,Museum ,Kieselstein 
53,Racism,Ice cream,House,computer,train,pencil,uncle,canon,guitar,Geography
54,end,beginn,lose,win,up,down,near,fare,black,white
55,Ball,Glue,Ice,Man,Diamond,River,Breakfast,Politics,Brain,Road
56,tree,chair,flight,noun,sky,nail,friend,colour,oil,continent
57,music,bike,train,sister,school,mountain,air,grasshopper,flower,meal
58,Piece,Cake,Environment,Hotel,Vacation,Treasure,Hunt,Game,Kitchen,Water
59,Tod,Wiese,Farbe,Lehrer,Fahrrad,Kindergarten,Heizung,Geld,Spaß,Angst
60,Work,Water,House,Clouds,Swimming,Food,Bed,Cat,Car,Vacation
61,school,cinema,football,recipe,animal,water,change,mankind,happyness,aircraft
62,bridge,kitchen,street,dog,wheat,atmosphere,time,lightswitch,pencil,dance
63,capitalism,mousetrap,summertime,intelligence,poets,motor,nut,friendship,fork,molecule
64,plant,car,ocean,christmas,univers,smoke,football,guitar,underground,face
65,Water,Cat,computer,wipes,experiment,knowledge ,air,ethnography ,pencil,walk
66,Dog,Window,Pancake,Homework,Car,Bag,Shop,Date,Picture,Scarf
67,ice,mouse,tree,vacation,drink,notebook,emotion,run,office,friend
68,Door,Pie,Book,Pollover,Smartphone,Car,Aircondicion,Sope,Stone,Water
69,University,Bed,Mine,Mouse,Disability,Watch,Skiing,undwear,Theater,River
70,Rauch,Eingebung,Muster,Interesse,Kalkulation,Blatt,Theorie,Grund,Wasser,Tragegurt
71,train,cat,chair,water,phone ,piano,hat,scissors,teeth,market
72,eyes,sun,movie,jacket,car,smartphone,apple,hair,child,adult
73,Sheep,Tabletennis,Radio,Spoon,Physics,Grandmother,Alien,Leaf,Toe,Water
74,Ball,Haus,Avocado,Universität,Hochzeit,Bett,Fußabtreter,Glück,Trauer,Vielfalt
75,dog,black,cat,jeans,music,gym,book,train,school,hoodie
76,purple,sun,crying,explosion,teddybear,raisin,ant,interface,ear,coffee
77,People,Number,Fruit,Scope,Deepsea,Spaceship,Firestation,Dream,Bird,Colours
78,cat,butter,stream,clue,mom,universe,tree,gatsby,dream,christmas
79,Rainbow,Press,Crocodile,Pullover,Neck,Telephone,Hygiene,Zip,Lentil,Gym
80,Knife,Shoe,Binocular,Movie,Science,Cult,Window,Electricity,Airplane,Radio
81,Cat,Bottle,Girl,Beach,Screen,Fork,Street,Book,Nail,Nose
82,Biotechnology,Pen,Swimmingpool,Yoga,Pizza,Train,Leg,Australia,Sweatshirt,Rollerskates
83,conscription,locket,university,stool,tabletennis,core,gloves,train,medicine,gate
84,velocity,air,ant,sadness,clothes,scissors,rock,hand,wolf,electricity
85,Pizza,Chess,Biology,Environmentalist,Poverty,Electricity,Fairy,Butterfly,Cannabis,
86,Tree,Space,Hate,Jellyfish,Sand,Desire,Gold,View,Concentration,Artillery
87,country,cell,spaceship,philosophy,granite,graffiti,bible,patchwork,cyberwar,e
88,animal,map,pen,retarted,jail,banana,window,depression,art,cinnamon
89,Soccer,Bridge,Computer,Headphones,Beanie,Chair,Clock,House,TV,Plane
90,Strawberry,Climate,Computer,Sex,House,Stone,Dog,Saddle,Ball,Movie
91,tree,beaker,space,car,fridge,sword,stage,hat,friend,number
92,heart,law,child,love,education,sucess,bridge,music,news,science
93,planet,nail,inefficiency,easter,snow,cocktail,sport,elephant,pumpkin,egoism
94,horse,floor,mistake,church,children,insurance,holiday,school,apple,coke
95,ear,plane,hill,art,care,belief,construction,well,rust,dose
96,color,work,breakfast,mouse,sense,shoe,brightness,sickness,luck,colonialism
97,grandma,landscape,store,computer,christmas,,,,,
98,mouse,,threat,exam,racism,evening,minister,plot,,
99,City,Genre,Fish,Star,ingredients,power,roof,mouse,lift,math
100,book,tree,engagement,child,tempretur,gender,house,cat,jet,supermarket
101,selflove,climate,waste,water,hungergames,tree,laptop,pharmacy,holiday,firework
102,House,Chopstick,Ring,Insect,Satellite,Engine,Eyeball,Rap,Subway,Suitcase
103,Mond,Auto,Wald,Frühstück,Videospiel,Säbel,Haare,Mauer,Liebe,Mikroskop
104,book,car,sun,loop,wall,marmelade,grave,trouser,glasses,capillar
105,Motorcycle,Pan,Trunks,Tree,Bill,Door,Smoke,Sun,Book,Helmet
106,Food,Plastic,Movies,Airpods,Love,Hate,Shoes,Christmas,Sweater,War
107,Book,Health,Sun,Muffin,Teacher,Fear,Bus,Winter,Juice,Ring
108,trust,socks,swimmer,cardboard,jelly,astronaut,rap,menopause,incarceration,alphabet
109,Heating,Sun,Garden,Floor,Dog,Bottle,Kitchen,City,Wave,Sign
110,Dog,Econometrics,Lilypad,Electricity,Creativity,Clutch,Bathroom,Lemonade,Finger,Number
111,Table,Grief,Love,Crime,Heist,Sprituality,Body,Medicine,Fantasy,Animal
112,park,school,restaurant,country,clothes,tradition,religion,money,gym,war
113,Haus,Tier,Pflanze,Tasche,Noten,Hut,Augen,Fahrrad,Winter,Klima
114,car,apple,science,paper,history,phone,fork,toilet,rainbow,chameleon 
115,glass,expectation,mushroom,pencil,lava,culture,aunt,combustion,terpentine,priest
116,Himmel,Straße,fallen,rund,rot,Hand,Anfang,Zahl,Flamingo,Buch
117,Pen,Plain,Football,Beer,Finance ,Fool,Match,Temptation,Merger,Jesus 
118,house,job,coffee,river,school,face,sports,experiment,language,animal
119,House,crucifixion,Chicken,Relativity,Syncopy,Suggestion,Potassium,Muscle,Crown,
120,black,potato,chair,ponytail,gymnastics,hospital,saddle,circle,balkony,ant
121,Haus,Leben,Stift,Himmel,Universität,Schwimmbad,Auto,Mediakament,Flugzeug,Politik
122,dog,computer,light,church,sentence,traffic,bread,room,tree,friends
123,pig,computer,torch,block,space,gold,plastic,thermodynamic,carpet,arabic
124,Tier,Schmuck,Technik,Golf,Stift,Musik,Buch,Nagellack,Hantel,Brief
125,Computer,Tree,Desk,Gym,Papertowel,Street,Ocean,Glass,Mountain,Light
126,Struktur,Feuer,Licht,Leben,Tod,Schicksal,Büro,Frieden,Socken,Wildnis
127,Unicorn,Asphalt,Oxygen,Bookclub,Libido,Wine,Pluto,Transparency,Everything,Hate
128,Travel,table,pencil,speaker,smartphone,color,breakfast,university,church,ocean
