Table Number,Move,Clues,Mystery Word,Guess,Mode,Language,End,Success,Is_Turn_based,Is_Real_time,Turn_based_effect,Real_time_effect,language_german,language_french,friendly_mode,end_infinite,average_originality,min_originality,max_originality,unique_clues_count,clue_count,Unique_Clues,contains_mystery_root,contains_mystery_stem,contains_mystery_stem_or_substring,unique_clues_squared,unique_clues_originality_interaction
312552889,2023,"Beading, spool, Needle, discussion, discussion",Thread,Thread,Normal mode,English,Infinite,1,0,0,0,0,0,0,0,1,63.859181851148605,47.43989109992981,73.72543811798096,4,5,"needle, spool, beading, discussion",False,False,False,16,242.30129480361938
312552889,2055,"Conjuror, sleight, Hat, Illusionist, Illusionist",Magician,magician,Normal mode,English,Infinite,0,0,0,0,0,0,0,0,1,46.70890383422375,23.99449348449707,76.17508620023727,4,5,"conjuror, sleight, illusionist, hat",False,False,False,16,168.66408705711365
312552889,2146,"Klaxon, burglar, Panic, siren, Smoke",Alarm,Alarm,Normal mode,English,Infinite,1,0,0,0,0,0,0,0,1,52.13660418987274,40.822041034698486,62.46988773345947,5,5,"klaxon, siren, panic, burglar, smoke",False,False,False,25,260.6830209493637
312552889,2154,"squished, Tiny, oily, can, Canned",Sardine,sardines,Normal mode,English,Infinite,0,0,0,0,0,0,0,0,1,74.88982535898685,63.106340169906616,97.78571017086506,5,5,"canned, can, oily, tiny, squished",False,False,False,25,374.4491267949343
312552889,2171,"Beanie, toque, Headdress, sombrero, Sombrero",Hat,Hat,Normal mode,English,Infinite,1,0,0,0,0,0,0,0,1,52.396802604198456,35.770559310913086,61.463892459869385,4,5,"toque, sombrero, headdress, beanie",False,False,False,16,211.8410062789917
312552889,2253,"Flash, Stamp, Tribal, regretted, Parlour",Tattoo,tattoo,Normal mode,English,Infinite,0,0,0,0,0,0,0,0,1,71.48416444659233,58.3287239074707,88.48801180720329,5,5,"parlour, stamp, regretted, tribal, flash",False,False,False,25,357.42082223296165
312552889,2287,"Company, Game, Crab, Crab, crab",Shell,Monopoly,Normal mode,English,Infinite,0,0,0,0,0,0,0,0,1,76.31141816576321,57.67474174499512,88.58192339539528,3,5,"company, game, crab",False,False,False,9,206.57024279236794
312552889,2304,"Lethal, phaser, Dagger, concealed, Flail",Weapon,weapon,Normal mode,English,Infinite,0,0,0,0,0,0,0,0,1,56.418389081954956,41.73954129219055,71.92628085613251,5,5,"phaser, lethal, concealed, flail, dagger",False,False,False,25,282.09194540977484
312552889,2352,"street, Curve, Vertex, Rounded, rounded",Corner,corner,Normal mode,English,Infinite,0,0,0,0,0,0,0,0,1,63.280970975756645,43.95403265953064,84.67626720666885,4,5,"street, curve, rounded, vertex",False,False,False,16,248.7178671360016
312552889,2360,"Gold, letter, mail, Gang, Reaction",Chain,Chain,Normal mode,English,Infinite,1,0,0,0,0,0,0,0,1,75.34938305616379,66.37883484363556,81.31988495588303,5,5,"letter, reaction, gold, mail, gang",False,False,False,25,376.74691528081894
