Table Number,Move,Clues,Mystery Word,Guess,Mode,Speed,Language,End,Success
313533300,3916,"Tanganyika, Loch, Huron, Veronica, Erie, Erie",Lake,Lake,Normal mode,No time limit • with friends only,English,Infinite,1
317609821,1461,"Momifié, Ramsès, Akhenaton, Hatchepsout, Roi, chef",Pharaon,Phare_à_on,Friendly mode,No time limit • with friends only,Français,Infinite,0
317609821,1498,"Cigarillos, Blague, sco, cigare, passer, Marlboro",Tabac,Tabac,Friendly mode,No time limit • with friends only,Français,Infinite,1
317609821,1570,"Tazieff, éruption, Pompei, Eyjafjallajökull, Etna, Etna",Volcan,Volcan,Friendly mode,No time limit • with friends only,Français,Infinite,1
317609821,1588,"Sabayon, Fin, PannaCotta, Baklava, Tiramisu, tiramisu",Dessert,dessert,Friendly mode,No time limit • with friends only,Français,Infinite,0
317609821,1683,"Puer, Ours, Paslamoustache, Vampire, vampire, vampire",Ail,Ail,Friendly mode,No time limit • with friends only,Français,Infinite,1
317609821,1701,"Guerre, paratonnerre, Thor, Coup, Zeus, Zeus",Foudre,Eclair,Friendly mode,No time limit • with friends only,Français,Infinite,0
317609821,1775,"Coin, Cadum, Congélateur, biberon, bieber, Triples",Bébé,bebe,Friendly mode,No time limit • with friends only,Français,Infinite,0
317609821,1785,"Blur, wonderwall, Tropical, Puit, Isgood, isgood",Oasis,oasis,Friendly mode,No time limit • with friends only,Français,Infinite,0
317609821,1804,"Donatello, musée, Tuyau, Splinter, Rat, Rat",Égoût,Égouts,Friendly mode,No time limit • with friends only,Français,Infinite,0
317609821,1918,"Cornebidouille, Derrière, Salem, Carabosse, Samantha, McGonagall",Sorcière,sorcière,Friendly mode,No time limit • with friends only,Français,Infinite,0
317609821,1936,"casper, drap, Poltergeist, Opéra, Opéra, OPéra",Fantôme,Fantôme,Friendly mode,No time limit • with friends only,Français,Infinite,1
317609821,1972,"Noire, Lumière, Génie, huile, Chevet, Chevet",Lampe,Lampe,Friendly mode,No time limit • with friends only,Français,Infinite,1
319065151,425,"Wonderwall, Gallagher, Palmtree, Sahara",Oasis,oasis,Friendly mode,No time limit • with friends only,English,Infinite,0
319065151,430,"Ayoade, Bryophyta, Bethlehem, humidity",Moss,moss,Friendly mode,No time limit • with friends only,English,Infinite,0
323499397,4660,"Horse, Biscay, michael, Laguna, e, Botany",Bay,Bay,Normal mode,No time limit • with friends only,English,Infinite,1
324381970,1745,"Ouverture, Appétit, Ricard, Crakers, chips, boisson",Apéritif,apéritif,Normal mode,Turn-based • 1 move per day,Français,Infinite,0
324381970,1808,"sors, q, oeuf, faute, couille, couille",Coquille,coquille,Normal mode,Turn-based • 1 move per day,Français,Infinite,0
324381970,1814,"orge, casser, glucose, Paspartame, accro, crêpe",Sucre,sucre,Normal mode,Turn-based • 1 move per day,Français,Infinite,0
324381970,1820,"Conifère, guirlande, Mambo, Culteur, Ça, sent",Sapin,sapin,Normal mode,Turn-based • 1 move per day,Français,Infinite,0
324381970,1864,"If, Let, Baffe, Crême, fraises, gifle",Tarte,tarte,Normal mode,Turn-based • 1 move per day,Français,Infinite,0
328236739,3025,"Dracula, jaws, Transylvania, Nosferatu, nosferatu",Vampire,vampire,Normal mode,Turn-based • 1 move per day,English,Infinite,0
328236739,3226,"Dundee, Skin, reptile, Lacoste, Lcoaste",Crocodile,crocodile,Normal mode,Turn-based • 1 move per day,English,Infinite,0
328236739,3370,"guerlain, potpourri, scent, Dior, chanel",Perfume,Perfume,Normal mode,Turn-based • 1 move per day,English,Infinite,1
328236739,3700,"Exorcist, Beelzebub, Lucifer, lucifer, Lucifer",Devil,Demon,Normal mode,Turn-based • 1 move per day,English,Infinite,0
330654495,1963,"Exterior, Ganso, Peteca, Pluma, cocar, Cocar",Feather,Feather,Normal mode,Turn-based • 1 move per 2 days,English,Infinite,1
330654495,2000,"Molha, expulso, banho, Lorenzetti, Lorenzetti, Lorenzetti",Shower,Shower,Normal mode,Turn-based • 1 move per 2 days,English,Infinite,1
330654495,2018,"Hamburguer, bandejão, Vale, Almoço, Ceia, Ceia",Meal,meal,Normal mode,Turn-based • 1 move per 2 days,English,Infinite,0
330654495,2037,"Pungente, Paulie, vampire, Bulbo, Cebola, cebola",Garlic,Dead,Normal mode,Turn-based • 1 move per 2 days,English,Infinite,0
330741642,2535,"Huître, Papier, Muffin, Muffin",Moule,Perle,Friendly mode,No time limit • with friends only,Français,Infinite,0
330741642,2582,"Unifamiliale, Domicile, Bungalow, Bungalow",Maison,Maison,Friendly mode,No time limit • with friends only,Français,Infinite,1
330741642,2661,"Parapapapam, Musique, Percussion, Percussion",Tambour,Tambour,Friendly mode,No time limit • with friends only,Français,Infinite,1
330741642,2681,"Électromagnétique, Collant, Magnétisme, Magnétique",Aimant,Aimant,Friendly mode,No time limit • with friends only,Français,Infinite,1
336562502,1436,"margharita, Capricciosa, Trapizzino, Italie, calzone, Calzone",Pizza,pizza,Friendly mode,No time limit • with friends only,Français,Infinite,0
336562502,1530,"Roi, GengisKhan, royaume, mulan, Napoléon, Napoléon",Empereur,Empereur,Friendly mode,No time limit • with friends only,Français,Infinite,1
336562502,1586,"Maillons, Ensemble, Tronçonneuse, Anneaux, Prisonnier, Pendentif",Chaîne,Chaine,Friendly mode,No time limit • with friends only,Français,Infinite,0
336562502,1629,"Clown, Zapatta, Tigres, Funambule, Chapiteau, Chapiteau",Cirque,Cirque,Friendly mode,No time limit • with friends only,Français,Infinite,1
336562502,1810,"Tarte, Halloween, Potimarron, Orange, Légume, Fantôme",Citrouille,Citrouille,Friendly mode,No time limit • with friends only,Français,Infinite,1
336562502,1842,"Bâtiment, Comédie, Mogador, Molière, Molière, Mogador",Théâtre,Théâtre,Friendly mode,No time limit • with friends only,Français,Infinite,1
336562502,1986,"Clafoutis, Pâte, Claque, Meringuée, Pâtisserie, Fruits",Tarte,tarte,Friendly mode,No time limit • with friends only,Français,Infinite,0
337346134,3666,"italian, capone, u, Godfather, Mob",Mafia,mafia,Normal mode,Turn-based • 1 move per day,English,Infinite,0
337346134,3699,"Hardrock, Royale, slots, rolls, Vegas",Casino,Casino,Normal mode,Turn-based • 1 move per day,English,Infinite,1
337346134,3903,"head, Hawkeye, jojo, fLETCHER, fletching",Arrow,Mask,Normal mode,Turn-based • 1 move per day,English,Infinite,0
337346134,4208,"Franklin, genbu, turtle, galapagos, Galapagos",Tortoise,Tortoise,Normal mode,Turn-based • 1 move per day,English,Infinite,1
338553253,2020,"Clinton, dollar, Hickok, Invoice, Nye",Bill,Bill,Normal mode,Turn-based • 2 moves per day,English,Infinite,1
338553253,2069,"advent, Agenda, Julian, Julian, Julian",Calendar,Calendar,Normal mode,Turn-based • 2 moves per day,English,Infinite,1
