Table Number,Move,Clues,Mystery Word,Guess,Mode,Speed,Language,End,Success
312552889,2006,"Double, ""Georges"", Born, Puff, Puff",Dragon,twins,Normal mode,No time limit • with friends only,English,Infinite,0
312552889,2277,"Watercolor, Finger, ""Rembrandts"", Miniatures, Decorating",Painting,Painting,Normal mode,No time limit • with friends only,English,Infinite,1
313533300,3146,"mountain, Lodge, Wax, cross-country, snowboard, Aspen",Ski,Ski,Normal mode,No time limit • with friends only,English,Infinite,1
313533300,3672,"Thermostat, ""eagles"", birthing, Shelter, ""Hornets"", ""Hornets""",Nest,nest,Normal mode,No time limit • with friends only,English,Infinite,0
313533300,3708,"cocoa, toblerone, ""Cadburys"", Kisses, Milk, bunny",Chocolate,Chocolate,Normal mode,No time limit • with friends only,English,Infinite,1
313533300,3988,"love, us-open, Sampras, Federer, court, Court",Tennis,tennis,Normal mode,No time limit • with friends only,English,Infinite,0
313533300,4006,"Bottlenose, Ecco, non-tuna, Tucuxi, Flipper, flipper",Dolphin,Dolphin,Normal mode,No time limit • with friends only,English,Infinite,1
313533300,4073,"rule, Novel, Tome, 1984, Library, Middlemarch",Book,Book,Normal mode,No time limit • with friends only,English,Infinite,1
313533300,4237,"Wendy’s, Filet, Wellington, complaint, bourguignon, stroganoff",Beef,Beef,Normal mode,No time limit • with friends only,English,Infinite,1
314877288,3314,"ミステリー, radian, 3.14..., どうじんかつどう, ドルイド",Circle,Circle,Normal mode,No time limit • with friends only,English,Infinite,1
317609821,1711,"Ice, film, 3D, boite, Rubik, Rubik",Cube,Cube,Friendly mode,No time limit • with friends only,Français,Infinite,1
317609821,1825,"ambulance, H, Sauvetage, Vite, 112, 112",Urgence,urgence,Friendly mode,No time limit • with friends only,Français,Infinite,0
317609821,2063,"dur, Automatique, Verstaepen, F1, hamilton, Auto",Pilote,pilote,Friendly mode,No time limit • with friends only,Français,Infinite,0
317609821,2072,"500, voyage, Humeur, Papier, doux, Doux",Billet,Billet,Friendly mode,No time limit • with friends only,Français,Infinite,1
317609821,2175,"alt24, Archer, Projectile, Sagittaire, Jo, Cupidon",Flèche,fleche,Friendly mode,No time limit • with friends only,Français,Infinite,0
319065151,313,"Fat-free, Aioli, Onion, Dracula",Garlic,garlic,Friendly mode,No time limit • with friends only,English,Infinite,0
